filename	Name in catalogue	Original title	Transliterated title	Type	year	collector	place	performer	archive reference	original metadata	Number of voices	Performer gender or age	audio recording	additional remarks
Kmeln_283_Oi mala nichka petrivochka	ОК-ПК-01+ОК-КП-01	Оі мала нічка петрівочка 	Oi mala nichka petrivochka 	Petrivtsi	1971	Струтинський О. Д. 	м. Шепетівка Шепетівського р-ну Хмельницької обл. 	Осінська Броніслава Мартинівна	ІМФЕ, ф. 14-3, од. зб. 860, арк. 120 зв.-122, №№ 2-6. 	"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 120 зв.-122, №№ 2-6. Вар. мел.
зап. 1983 р. Іваннікова Л. В. у с. Миньківці Славутського р-ну від Дейкалюк Людмили Анатолі-
ївни, 1963 р. н. – ІМФЕ, ф. 14-3, од. зб. 1195, арк. 27, 14, пл. № 2. Нотація Єфремової Л. О. "	2 voices			
Kmeln_284_Malu ya nichku mala	ОК-ПК-01а	Малу иа нічку мала 	Malu ya nichku mala 	Petrivtsi	1918	Постоловський А.	"с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
"	мати та тітка	ІМФЕ, ф. 6-4, од. зб. 119, арк. 149, № 100.	"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. Постоловський А. записав від  
від матері та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 149, № 100."	unison	women		"Постоловський А. записав від  
від матері та тітки"
Kmeln_285_Oi u poliu pshenychenka	ОК-ПК-04	Оі у поліу пшениченка 	Oi u poliu pshenychenka 	Petrivtsi	1962	Ященко Леопольд	"с. Мануїльське (нині с. Святець) Теофіпольського р-ну Хмельницької 
обл.  "	-	"ІМФЕ, ф. 14-5, од. зб. 350, зош. 4, арк. 55-156, пл. ф. 14-10, од. зб. 929. Транскрибування Єфремової 
Л. О. "	"Зап. 1962 р. Ященко Л. І. у с. Мануїльське (нині с. Святець) Теофіпольського р-ну Хмельницької 
обл.  – ІМФЕ, ф. 14-5, од. зб. 350, зош. 4, арк. 55-156, пл. ф. 14-10, од. зб. 929. Нотація Єфремової 
Л. О. "	2 voices		пл. ф. 14-10, од. зб. 929	
Kmeln_286_Oi u poli pshenychenka	ОК-ПК-04	Оі у полі пшениченка 	Oi u poli pshenychenka 	Petrivtsi	1973	Пазяк Михайло, Іваницький Анатолій	"с. Волосівці Летичівського р-ну Хмельницької обл. 
"	 Загринецька Маланка, 60 р. 	"ІМФЕ. ф. 14-5, од. зб. 430, арк. 67, пл. ф. 14-10, од. зб. 1320. 
Транскрибування Єфремової Л. О."	"Зап.  1973 р. Пазяк М. М., Іваницький А. І. у с. Волосівці Летичівського р-ну Хмельницької обл. 
від Загринецької Маланки, 60 р. – ІМФЕ. ф. 14-5, од. зб. 430, арк. 67, пл. ф. 14-10, од. зб. 1320. 
Нотація Єфремової Л. О."	unison	woman	пл. ф. 14-10, од. зб. 1320	
Kmeln_287v_Oi u lisi, oi u lisi	ОК-ПК-06	Оі у лісі, оі у лісі 	Oi u lisi, oi u lisi 	Petrivtsi	1973	Експедиція ІМФЕ (Пазяк Михайло, Іваницький Анатолій) 	с. Волосівці Летичівського р-ну Хмельницької обл.  	Якімцева Ганна, 45 р.	ІМФЕ, ф. 14-5, од. зб. 430, арк. 62,  фонозапис ф. 14-10, од. зб. 1320.	"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 122, №№ 7-8. Вар. мел. зап. 1973 
р. експ. ІМФЕ (Пазяк М. М., Іваницький А. І.) у с. Волосівці Летичівського р-ну Хмельницької обл. 
від Якімцевої Ганни, 45 р. – ІМФЕ, ф. 14-5, од. зб. 430, арк. 62; фонозапис ф. 14-10, од. зб. 1320."	unison	woman	фонозапис ф. 14-10, од. зб. 1320	
Kmeln_287_Oi u lisi, oi u lisi	ОК-ПК-06	Оі у лісі, оі у лісі 	Oi u lisi, oi u lisi 	Petrivtsi	1971	Струтинський О. Д. 	м. Шепетівка Шепетівського р-ну Хмельницької обл. 	Осінська Броніслава Мартинівна	ІМФЕ, ф. 14-3, од. зб. 860, арк. 122, №№ 7-8. 	"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 122, №№ 7-8. Вар. мел. зап. 1973 
р. експ. ІМФЕ (Пазяк М. М., Іваницький А. І.) у с. Волосівці Летичівського р-ну Хмельницької обл. 
від Якімцевої Ганни, 45 р. – ІМФЕ, ф. 14-5, од. зб. 430, арк. 62; фонозапис ф. 14-10, од. зб. 1320."	2 voices	woman	фонозапис ф. 14-10, од. зб. 1320	
Kmeln_288_Oi u lisi, oi u lisi	ОК-ПК-06	Оі у лісі, оі у лісі 	Oi u lisi, oi u lisi 	Petrivtsi	2004	Панчук Оксана	с. Онишківці Шепетівського р-ну Хмельницької обл. 	" 
Скринник Євдокія Сидорівна, 1927 р. н. "	"Касета № 5, ст. А, № 30. Транскрибування та ред. тексту. Єфре-
мової Л. О., № 113."	"Зап. у липні 2004 р. Панчук О. В. у с. Онишківці Шепетівського р-ну Хмельницької обл. від 
Скринник Євдокії Сидорівни, 1927 р. н. – Касета № 5, ст. А, № 30. Нотація та ред. тексту. Єфре-
мової Л. О., № 113."	unison	woman	Касета № 5, ст. А, № 30	
Kmeln_289_A vzhe  sontse kotytsia	ОК-Ж1-04	А вже  сонце котиціа 	A vzhe  sontse kotytsia 	harvest	1971	Eкспедиція ІМФЕ (Шумада Наталя, Іванов Володимир, Довженок Галина) 	с. Патринці Кам’янець-Подільського р-ну Хмельницької обл. 	Горошок Ганни Миколаївни, 1923 р. н.	"ІМФЕ, ф. 14-5, од. зб. 419, арк. 57-58, пл. ф. 14-10, од. зб. 1178 
(5). Транскрибування Ю. Василенка. "	"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у с. Патрин-
ці Кам’янець-Подільського р-ну Хмельницької обл. від Горошок Ганни Миколаївни, 1923 р. н., 
освіта початкова, колгоспниця. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 57-58, пл. ф. 14-10, од. зб. 1178 
(5). Нотація Ю. Василенка. "	unison	woman		"Горошок Ганни Миколаївни, 1923 р. н., 
освіта початкова, колгоспниця"
Kmeln_290_Oi panochku nash	ОК-Ж1-05	Оі паночку наш 	Oi panochku nash 	harvest	1937	Гайдай Михайло	с. Капустин Старокостянтинівського р-ну Хмельницької обл. 	Коваль Олімпіада Сергіївна  49 р. 	ІМФЕ, ф. 8-3, од. зб. 181, арк. 108. 	"Зап. 1937 р. Гайдай М. П. у с. Капустин Старокостянтинівського р-ну Хмельницької обл. від Олім-
піади Сергіївни Коваль, 49 р. – ІМФЕ, ф. 8-3, од. зб. 181, арк. 108. "	heterophony	woman		
Kmeln_291_A v nashoho pana	ОК-Ж2-01	А в нашого пана 	A v nashoho pana 	harvest	1971	"Eкспедиція ІМФЕ (Шумада Наталя, Іванов Володимир, Довженок Галина) , Спінатьєв 
В."	м. Кам’янець-Подільський. 	Стрілецька Параска Михайлівна, 1902 р. н. у м. Кам’янець-Подільський. 	"ІМФЕ, ф. 14-5, 
од. зб. 419, арк. 29-30, пл. ф. 14-10, од. зб. 1177 (15). Розш. Василенко Ю. Тепер не співають. "	"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв 
В. від Стрілецької Параски Михайлівни, 1902 р. н. у м. Кам’янець-Подільський. – ІМФЕ, ф. 14-5, 
од. зб. 419, арк. 29-30, пл. ф. 14-10, од. зб. 1177 (15). Розш. Василенко Ю. Тепер не співають. "	unison	woman	пл. ф. 14-10, од. зб. 1177 (15)	
Kmeln_292_A v nashoho pana	ОК-Ж2-01	А в нашого пана 	A v nashoho pana 	harvest	1978	Мишанич Михайло	с. Студениця Кам’янець-Подільського р-ну 	Буймистер Параска Василівна, 1888 р. н. 	ІМФЕ, ф. 14-3, од. зб. 973, арк. 170 (текст), арк. 255 (мел.), № 120.	"Зап. 19 липня 1978 р. Мишанич М. В. у с. Студениця Кам’янець-Подільського р-ну від Буймистер 
Параски Василівни, 1888 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 170 (текст), арк. 255 (мел.), № 120."	unison	woman		
Kmeln_293_Nasha pania domuie	ОК-Ж2	Наша паніа домуіе 	Nasha pania domuie 	harvest	1971	Eкспедиція ІМФЕ (Шумада Наталя, Іванов Володимир, Довженок Галина) 	"м. Кам’янець-
Подільський Хмельницької обл. "	Стрілецькa Параскa Михайлівнa, 1902 р. н. 	"ІМФЕ, ф. 14-5, 
од. зб. 419, арк. 254-256, пл. ф. 14-10, од. зб. 1183 (6). Транскрибування Іванова В. Ф. "	"Зап. 23.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м. Кам’янець-
Подільський Хмельницької обл. від Стрілецької Параски Михайлівни, 1902 р. н. – ІМФЕ, ф. 14-5, 
од. зб. 419, арк. 254-256, пл. ф. 14-10, од. зб. 1183 (6). Нотація Іванова В. Ф. "	unison	woman	пл. ф. 14-10, од. зб. 1183 (6)	
Kmeln_294_Shcho v seli za dym kuryt	ОК-Ж2	Шчо в селі за дим курит 	Shcho v seli za dym kuryt 	harvest	1971	Струтинський О. Д. 	"м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. "	Осінська Броніслава Мартинівна	ІМФЕ, ф. 14-3, од. зб. 860, арк. 131, № 1.	"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 131, № 1."	unison	woman		
Kmeln_295_Oi zhentsi moi, zhentsi	ОК-Ж3	Оі женці моі, женці 	Oi zhentsi moi, zhentsi 	harvest	1973	Експедиція ІМФЕ (Пазяк Михайло, Іваницький Анатолій)	"с. Волосівці Летичівського р-ну Хмель-
ницької обл. "	Васильчук Ф. Г., 1901 р. н. 	"ІМФЕ, ф. 15-5, од. зб. 430, арк. 53а, пл. ф. 14-10, од. 
зб. 1320. Транскрибування Єфремової Л. О. "	"Зап. 1973 р. експ. ІМФЕ (Пазяк М. М., Іваницький А. І.) у с. Волосівці Летичівського р-ну Хмель-
ницької обл. від Васильчук Ф. Г., 1901 р. н. – ІМФЕ, ф. 15-5, од. зб. 430, арк. 53а, пл. ф. 14-10, од. 
зб. 1320. Нотація Єфремової Л. О. "	unison	woman	"пл. ф. 14-10, од. 
зб. 1320"	
Kmeln_296_Zhyvo, zhenchyky, zhyvo	ОК-Ж3	Живо, женчики, живо 	Zhyvo, zhenchyky, zhyvo 	harvest	1975	Нагорний Л. С.	с. м. т. Ярмолинці 	учасники художньої самодіяльності	-	Зап. 1975 р. Нагорний Л. С. у с. м. т. Ярмолинці від учасників художньої самодіяльності.	unison	group of amateurs		
Kmeln_297_Dozhaly my zarania	ОК-Ж3-01	Дожали ми зараніа 	Dozhaly my zarania 	harvest	1926	Гайдай Михайло	с. Адамівка Віньковецького р-ну Хмельницької обл. 	"Васькін Іван 
"	ІМФЕ, ф. 6-3, од. зб. 69, арк. 53-54 (27), № 75.	"Зап. 1926 р. Гайдай М. П. у с. Адамівка Віньковецького р-ну Хмельницької обл. від Васькіна Івана. 
– ІМФЕ, ф. 6-3, од. зб. 69, арк. 53-54 (27), № 75."	heterophony	man		
Kmeln_298_Izzhaly, izviazaly	ОК-Ж3-01	Ізжали, ізвіазали 	Izzhaly, izviazaly 	harvest	1928	Харків Володимир	с. Борсуки Новоушицького р-ну Хмельницької обл. 	Ткачук Мехтодій 	ІМФЕ, ф. 6-3, од. зб. 81, арк. 142 (167) – текст, арк. 143(168) – мел.,  № 22.	"Зап. 1928 р. Харків В. Й. у с. Борсуки Новоушицького р-ну Хмельницької обл. від Ткачука Мехто-
дія. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 142 (167) – текст, арк. 143(168) – мел.,  № 22."	heterophony	man		
Kmeln_299v_Borodo nasha pyshna	ОК-Ж3+ЖЗ-02	Бородо наша пишна 	Borodo nasha pyshna 	harvest	1963	Правдюк Олександр	с. Соколівка Ярмолинецького р-ну Хмельницької обл. 	-	ІМФЕ, ф. 14-5, од. зб. 378, арк. 2, № 4.	"Зап. 1973 р. Нагорний Л. С. у м. Хмельницькому від Орла Михайла Федоровича, методиста ОБНТ.
Вар. мел. зап. 1963 р. Правдюк О. А. у с. Соколівка Ярмолинецького р-ну Хмельницької обл. – 
ІМФЕ, ф. 14-5, од. зб. 378, арк. 2, № 4."	2 voices			
Kmeln_299_Borodo nasha pyshna	ОК-Ж3+ЖЗ-02	Бородо наша пишна 	Borodo nasha pyshna 	harvest	1973	Нагорний Л. С.	м. Хмельницькому 	Орeл Михайло Федорович	-	"Зап. 1973 р. Нагорний Л. С. у м. Хмельницькому від Орла Михайла Федоровича, методиста ОБНТ.
Вар. мел. зап. 1963 р. Правдюк О. А. у с. Соколівка Ярмолинецького р-ну Хмельницької обл. – 
ІМФЕ, ф. 14-5, од. зб. 378, арк. 2, № 4."	unison	man		Орeл Михайло Федорович, методист ОБНТ
Kmeln_300_Perepilonko mala	ОК-Ж3-02	Перепілонко мала 	Perepilonko mala 	harvest	1989	Нагорний Л. С.	с. Баламутівка Ярмолинецького р-ну Хмельницької обл. 	Мукарська Марія Йосипівна	-	"Зап. 1989 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького р-ну Хмельницької обл. від Мукар-
ської Марії Йосипівни."	unison	woman		
Kmeln_301_Perepilonko bila	ОК-Ж3-02	Перепілонко біла 	Perepilonko bila 	harvest	1926	Гайдай Михайло	"с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) "	Васькін Іван 	ІМФЕ, ф. 6-3, од. зб. 69, арк. 54 (27 зв.), № 75. 	"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Івана Васькіна. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 54 (27 зв.), № 75. "	heterophony	man		
Kmeln_302_Perepilonko bila	ОК-Ж3-02	Перепілонко біла 	Perepilonko bila 	harvest	1926	Гайдай Михайло	с. Адамівка біля Зінькова (нині Віньковецького р-ну) 	Васькін Іван	ІМФЕ, ф. 6-3, од. зб. 69, арк. 54-55 (27 зв.-28), № 76. 	"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну) від Івана Ваські-
на. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 54-55 (27 зв.-28), № 76. Варіянт нового часу. (Прим. зап.)"	heterophony	man		Варіянт нового часу. (Прим. зап.)
Kmeln_303_Konets nyvotsi, konets	ОК-Ж3-03	Конец нивоці, конец 	Konets nyvotsi, konets 	harvest	1928	Харків Володимир	м. Стара Ушиця (нині Кам’янець-Подільського р-ну 	Скрипник Їлена, 57 р. 	ІМФЕ, ф. 6-3, од. зб. 81, арк. 60 (69) (текст), арк. 62 (71)  (мел.) № 55.	"Зап. 1928 р. Харків В. Й. у м. Стара Ушиця (нині Кам’янець-Подільського р-ну від Скрипник Їле-
ни, 57 р. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 60 (69) (текст), арк. 62 (71)  (мел.) № 55."	unison	woman		
Kmeln_304_Konets nyvontsi, konets	ОК-Ж3-03	Конец нивонці, конец 	Konets nyvontsi, konets 	harvest	1971	"Eкспедиція ІМФЕ (Шумада Наталя, Іванов Володимир, Довженок Галина, Спінатьєв 
В. Г.)"	м. Кам’янець-Подільський 	Стрілецька Параска Михайлівна, 1902 р. н.	ІМФЕ, ф. 14-5, од. зб. 419, арк. 31-32, пл. ф. 14-10, од. зб. 1177 (16). Знає від матері. Тепер не виконують. 	"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв 
В. Г. від Стрілецької Параски Михайлівни, 1902 р. н. у м. Кам’янець-Подільський – ІМФЕ, ф. 14-
5, од. зб. 419, арк. 31-32, пл. ф. 14-10, од. зб. 1177 (16). "	unison	woman	пл. ф. 14-10, од. зб. 1177 (16)	Стрілецька Параска Михайлівна, нар. 1902 р. н. у м. Кам’янець-Подільський. Знає пісню від матері, тепер не виконують.  
Kmeln_305v_Misiachenko z horoiu	ОК-Ж3-07	Місіаченко з гороіу 	Misiachenko z horoiu 	harvest	1963	Правдюк Олександр	с. Соколівка Ярмолинецького р-ну Хмельницької обл.	-	ІМФЕ, ф. 14-5, од. зб. 378, арк. 4, № 7. 	"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 131 зв.-132, №№ 2-4. Вар. мел.
зап. 1963 р. Правдюк О. А. у с. Соколівка Ярмолинецького р-ну Хмельницької обл. – ІМФЕ, ф. 
14-5, од. зб. 378, арк. 4, № 7. "	unison	woman		
Kmeln_305_Misiachenko z horoiu	ОК-Ж3-07	Місіаченко з гороіу 	Misiachenko z horoiu 	harvest	1971	Струтинський О. Д. 	м. Шепетівка Шепетівського р-ну Хмельницької обл. 	Осінська Броніслава Мартинівна	ІМФЕ, ф. 14-3, од. зб. 860, арк. 131 зв.-132, №№ 2-4	"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 131 зв.-132, №№ 2-4. Вар. мел.
зап. 1963 р. Правдюк О. А. у с. Соколівка Ярмолинецького р-ну Хмельницької обл. – ІМФЕ, ф. 
14-5, од. зб. 378, арк. 4, № 7. "	unison	woman		
Kmeln_306_Misiatsiu-narozhenku	ОК-Ж3-07	Місіаціу-нароженку 	Misiatsiu-narozhenku 	harvest	-	Гайдай Михайло	"с. Кропівна Заславського пов., Волинь (нині с. Кропивна Ізяславського р-ну Хмель-
ницької обл.) "	Яржемський Мануїл 	ІМФЕ, ф. 6-4, од. зб. 122, арк. 17, № 28.	"Зап. Гайдай М. П. у с. Кропівна Заславського пов., Волинь (нині с. Кропивна Ізяславського р-ну Хмель-
ницької обл.) від Мануїла Яржемського. – ІМФЕ, ф. 6-4, од. зб. 122, арк. 17, № 28."	unison	man		
Kmeln_307_Za nashoiu slobodoiu	ОК-Ж3	За нашоіу слободоіу 	Za nashoiu slobodoiu 	harvest	-	Гайдай Михайло	"с. Кропівна Заславського пов., Волинь (нині с. Кропивна Ізяславського р-ну Хмель-
ницької обл.) "	Яржемський Мануїл 	ІМФЕ, ф. 6-4, од. зб. 122, арк. 17, № 29.	"Зап. Гайдай М. П. у с. Кропівна Заславського пов., Волинь (нині с. Кропивна Ізяславського р-ну Хмель-
ницької обл.) від Мануїла Яржемського. – ІМФЕ, ф. 6-4, од. зб. 122, арк. 17, № 29."	unison	man		
Kmeln_308_U nashoho hospodaria	ОК-Ж4-01	У нашого господаріа 	U nashoho hospodaria 	harvest	1971	Струтинський О. Д. 	"м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. "	Осінська Броніслава Мартинівна	ІМФЕ, ф. 14-3, од. зб. 860, арк. 133 зв.-134, №№ 4-5.	"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 133 зв.-134, №№ 4-5."	2 voices	woman		
Kmeln_309_Oi obzhynky, hospodariu	ОК-Ж4-03	Оі обжинки, господаріу 	Oi obzhynky, hospodariu 	harvest	1971	Струтинський О. Д. 	"м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. "	Осінська Броніслава Мартинівна	ІМФЕ, ф. 14-3, од. зб. 860, арк. 132 зв.-133, №№ 1-3.	"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 132 зв.-133, №№ 1-3."	2 voices	woman		
Kmeln_310_My pshenytsiu zhaly	ОК-Ж	Ми пшениціу жали 	My pshenytsiu zhaly 	harvest	1963	Правдюк Олександр	с. Соколівка Ярмолинецького р-ну Хмельницької обл. 	-	ІМФЕ, ф. 14-5, од. зб. 378, арк. 7, № 15.	"Зап. 1963 р. Правдюк О. А. у с. Соколівка Ярмолинецького р-ну Хмельницької обл. – ІМФЕ, ф. 
14-5, од. зб. 378, арк. 7, № 15."	3 voices			
Kmeln_311_Na popovi sinozhati	ОК-Ж	На попові сіножаті 	Na popovi sinozhati 	harvest	1918	Постоловський А.	"с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
"	мати та тітка 	ІМФЕ, ф. 6-4, од. зб. 119, арк. 147, № 97.	"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 147, № 97."	unison	women		Постоловський А. записав від   від матері та тітки
Kmeln_312_Oi khvalylas pshenychenka	ОК-Ж4-сучасна	Оі хвалилас пшениченка 	Oi khvalylas pshenychenka 	harvest	1975	Нагорний Л. С.	с. м. т. Ярмолинцці 	учасники художньої самодіяльності	-	Зап. 1975 р. Нагорний Л. С. у с. м. т. Ярмолинцці від учасників художньої самодіяльності.	unison	group of amateurs		
Kmeln_313_Radii, vse selo	ОК-Ж-сучасна	Радіі, все село 	Radii, vse selo 	harvest	1975	Нагорний Л. С.	с. м. т. Ярмолинці 	учасники художньої самодіяльності	-	Зап. 1975 р. Нагорний Л. С. у с. м. т. Ярмолинці від учасників художньої самодіяльності.	unison	group of amateurs		
Kmeln_314_Oi snope, snope	ОК-Ж-сучасна	Оі снопе, снопе 	Oi snope, snope 	harvest	1972	Нагорний Л. С.	с. м. т. Ярмолинці 	учасники художньої самодіяльності	-	Зап. 1972 р. Нагорний Л. С. у с. м. т. Ярмолинці від учасників художньої самодіяльності.	unison	group of amateurs		
Kmeln_315_Vinchyku, vinchyku, vinchyku mii	ОК-Ж-рад.	Вінчику, вінчику, вінчику міі 	Vinchyku, vinchyku, vinchyku mii 	harvest	1973	Нагорний Л. С.	м. Хмельницькому 	Орeл Михайло Федорович	-	Зап. 1973 р. Нагорний Л. С. у м. Хмельницькому від Орла М. Ф.	unison	man		
Kmeln_316_Oi zhe harnyi	ОК-Ж-сучасна	Оі же гарнї 	Oi zhe harnyi 	harvest	1963	Нагорний Л. С.	с. Бубнівка Волочиського р-ну Хмельницької обл.	-	-	Зап. 1963 р. Нагорний Л. С. у с. Бубнівка Волочиського р-ну Хмельницької обл.	unison			
Kmeln_317_Na Podilli duzhe zdavna	ОК-Ж-сучасна	На Поділлі дуже здавна 	Na Podilli duzhe zdavna 	harvest	1975	Нагорний Л. С.	с. м. т. Ярмолинці 	учасники художньої самодіяльності	-	Зап. 1975 р. Нагорний Л. С. у с. м. т. Ярмолинці від учасників художньої самодіяльності.	unison	group of amateurs		
Kmeln_318_Zghorily tapchany	ЖТ-пастуша	Зґгоріли тапчани 	Zghorily tapchany 	harvest	1927	Харків Володимир	"с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). "	-	"ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 32 (23), мел. – арк. 33 
(24), № 59. "	"Зап. 1927-1928 рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 32 (23), мел. – арк. 33 
(24), № 59. "	unison			
Kmeln_319_A ya yii rishcha	Пастуша	А иа їі рішча 	A ya yii rishcha 	harvest	1927	Харків Володимир	"с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). "	-	"ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 32 (23), мел. – арк. 
33 (24), № 60; мел. також: ф. 6, од. зб. 158, арк. 71. "	"Зап. 1927-1928 рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 32 (23), мел. – арк. 
33 (24), № 60; мел. також: ф. 6, од. зб. 158, арк. 71. "	unison			
Kmeln_320_V nashoho pana	Робоча, на буряках	В нашого пана 	V nashoho pana 	harvest	1926	Гайдай Михайло	"с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) "	Васькін Іван 	ІМФЕ, ф. 6-3, од. зб. 69, арк. 39 (20), № 59. 	"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Івана Васькіна. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 39 (20), № 59. На бураках. (Прим. зап.)"	unison	man		Пісню співали на бураках (Прим. зап.)
Vinnytsia_109_Popid nebesa	ОК-ХК	Попід небеса 	Popid nebesa 	spring	2007	Кушка Т. Я., Матіяш Д. В.	"с. Рожична Оратівського р-ну Вінницької обл. 
"	жіночій гурт	Транскрибування:  Єфремова Л. О. № 1 (654).	"Зап. у березні 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Рожична Оратівського р-ну Вінницької обл. 
від жіночого гурту. Розшифр. Єфремова Л. О. № 1 (654)."	2 voices	group of women		
Vinnytsia_110_Oi na lysti	ОК-ХЩ-01	Оі на листі 	Oi na lysti 	spring	2007	Кушка Т. Я., Матіяш Д. В.	"с. Рожична Оратівського р-ну Вінницької обл. 
"	жіночій гурт	Транскрибування:  Єфремова Л. О.  № 4 (657).	"Зап. у березні 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Рожична Оратівського р-ну Вінницької обл. 
від жіночого гурту. Розшифр. Єфремова Л. О.  № 4 (657)."	unison	group of women		
Vinnytsia_111_Hoi, dai, Boizhe	ОК-ХК-08	Гоі, даі, Боіже 	Hoi, dai, Boizhe 	spring	1928	Корсовецький Орест	с. Клембівка Ямпільського р-ну Вінницької обл. 	Сирітка Іван Микитович, 32 р. 	ІМФЕ, ф. 6-4, од. зб. 157, арк. 20, № 33. 	"Зап. 10.І 1928 р. Корсовецький О. у с. Клембівка Ямпільського р-ну Вінницької обл. від Сирітки 
Івана Микитовича, 32 р. – ІМФЕ, ф. 6-4, од. зб. 157, арк. 20, № 33. Колядка господині. Колядуєть-
ся літніми людьми на перший день Різдва ввечері. Колядувють жінці."	unison	man		"Колядка господині. Колядуєть-
ся літніми людьми на перший день Різдва ввечері. Колядувють жінці."
